"Label (Grouping)","Population 18 to 24 years","Population 18 to 24 years!!Less than high school graduate","Population 18 to 24 years!!High school graduate (includes equivalency)","Population 18 to 24 years!!Some college or associate's degree","Population 18 to 24 years!!Bachelor's degree or higher","Population 25 years and over","Population 25 years and over!!Less than 9th grade","Population 25 years and over!!9th to 12th grade, no diploma","Population 25 years and over!!High school graduate (includes equivalency)","Population 25 years and over!!Some college, no degree","Population 25 years and over!!Associate's degree","Population 25 years and over!!Bachelor's degree","Population 25 years and over!!Graduate or professional degree","Percent high school graduate or higher","Percent bachelor's degree or higher","Population 25 to 34 years","Population 25 to 34 years!!High school graduate or higher","Population 25 to 34 years!!Bachelor's degree or higher","Population 35 to 44 years","Population 35 to 44 years!!High school graduate or higher","Population 35 to 44 years!!Bachelor's degree or higher","Population 45 to 64 years","Population 45 to 64 years!!High school graduate or higher","Population 45 to 64 years!!Bachelor's degree or higher","Population 65 years and over","Population 65 years and over!!High school graduate or higher","Population 65 years and over!!Bachelor's degree or higher","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!White alone","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!White alone!!High school graduate or higher","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!White alone!!Bachelor's degree or higher","White alone, not Hispanic or Latino","White alone, not Hispanic or Latino!!High school graduate or higher","White alone, not Hispanic or Latino!!Bachelor's degree or higher","Black alone","Black alone!!High school graduate or higher","Black alone!!Bachelor's degree or higher","American Indian or Alaska Native alone","American Indian or Alaska Native alone!!High school graduate or higher","American Indian or Alaska Native alone!!Bachelor's degree or higher","Asian alone","Asian alone!!High school graduate or higher","Asian alone!!Bachelor's degree or higher","Native Hawaiian and Other Pacific Islander alone","Native Hawaiian and Other Pacific Islander alone!!High school graduate or higher","Native Hawaiian and Other Pacific Islander alone!!Bachelor's degree or higher","Some other race alone","Some other race alone!!High school graduate or higher","Some other race alone!!Bachelor's degree or higher","Two or more races","Two or more races!!High school graduate or higher","Two or more races!!Bachelor's degree or higher","Hispanic or Latino Origin","Hispanic or Latino Origin!!High school graduate or higher","Hispanic or Latino Origin!!Bachelor's degree or higher","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!Less than high school graduate","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!High school graduate (includes equivalency)","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!Some college or associate's degree","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!Bachelor's degree or higher","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS)","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!Less than high school graduate","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!High school graduate (includes equivalency)","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!Some college or associate's degree","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!Bachelor's degree","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!Graduate or professional degree"
"Surry County, North Carolina","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","5,788","917","2,056","2,459","356","50,839","4,740","6,661","15,668","10,317","5,684","5,078","2,691","(X)","(X)","7,491","5,979","1,136","9,010","7,267","1,559","20,571","16,887","3,411","13,767","9,305","1,663","","47,587","37,235","7,362","45,114","36,276","7,245","1,798","1,260","218","203","91","50","271","236","90","31","24","16","533","236","6","416","356","27","3,288","1,414","145","","(X)","(X)","(X)","(X)","","30,196","21,503","27,194","29,496","43,372","48,274"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","15.8%","35.5%","42.5%","6.2%","(X)","9.3%","13.1%","30.8%","20.3%","11.2%","10.0%","5.3%","77.6%","15.3%","(X)","79.8%","15.2%","(X)","80.7%","17.3%","(X)","82.1%","16.6%","(X)","67.6%","12.1%","","(X)","78.2%","15.5%","(X)","80.4%","16.1%","(X)","70.1%","12.1%","(X)","44.8%","24.6%","(X)","87.1%","33.2%","(X)","77.4%","51.6%","(X)","44.3%","1.1%","(X)","85.6%","6.5%","(X)","43.0%","4.4%","","28.7%","16.4%","11.7%","4.2%","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Males","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,058","382","1,378","1,167","131","24,107","2,726","3,600","7,802","4,409","2,096","2,325","1,149","(X)","(X)","3,728","2,814","465","4,383","3,356","647","10,053","7,831","1,545","5,943","3,780","817","","22,478","16,696","3,335","21,270","16,344","3,309","834","571","76","99","36","18","90","76","19","31","24","16","372","199","6","203","179","4","1,747","692","50","","(X)","(X)","(X)","(X)","","32,885","24,863","31,692","36,596","52,096","63,750"
"    Percent Males","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","12.5%","45.1%","38.2%","4.3%","(X)","11.3%","14.9%","32.4%","18.3%","8.7%","9.6%","4.8%","73.8%","14.4%","(X)","75.5%","12.5%","(X)","76.6%","14.8%","(X)","77.9%","15.4%","(X)","63.6%","13.7%","","(X)","74.3%","14.8%","(X)","76.8%","15.6%","(X)","68.5%","9.1%","(X)","36.4%","18.2%","(X)","84.4%","21.1%","(X)","77.4%","51.6%","(X)","53.5%","1.6%","(X)","88.2%","2.0%","(X)","39.6%","2.9%","","26.3%","14.1%","8.3%","5.2%","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Females","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,730","535","678","1,292","225","26,732","2,014","3,061","7,866","5,908","3,588","2,753","1,542","(X)","(X)","3,763","3,165","671","4,627","3,911","912","10,518","9,056","1,866","7,824","5,525","846","","25,109","20,539","4,027","23,844","19,932","3,936","964","689","142","104","55","32","181","160","71","0","0","0","161","37","0","213","177","23","1,541","722","95","","(X)","(X)","(X)","(X)","","24,270","16,435","20,479","24,560","38,423","44,015"
"    Percent Females","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","19.6%","24.8%","47.3%","8.2%","(X)","7.5%","11.5%","29.4%","22.1%","13.4%","10.3%","5.8%","81.0%","16.1%","(X)","84.1%","17.8%","(X)","84.5%","19.7%","(X)","86.1%","17.7%","(X)","70.6%","10.8%","","(X)","81.8%","16.0%","(X)","83.6%","16.5%","(X)","71.5%","14.7%","(X)","52.9%","30.8%","(X)","88.4%","39.2%","(X)","-","-","(X)","23.0%","0.0%","(X)","83.1%","10.8%","(X)","46.9%","6.2%","","31.7%","18.7%","14.0%","3.4%","","(X)","(X)","(X)","(X)","(X)","(X)"
"Swain County, North Carolina","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,193","166","434","550","43","9,749","554","1,370","3,198","2,265","867","979","516","(X)","(X)","1,700","1,493","224","1,637","1,388","302","3,740","3,045","649","2,672","1,899","320","","6,971","5,649","1,259","6,847","5,554","1,242","32","30","0","2,146","1,705","141","23","23","14","0","0","0","108","58","1","469","360","80","339","260","24","","(X)","(X)","(X)","(X)","","28,708","23,611","23,288","27,660","42,104","53,611"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","13.9%","36.4%","46.1%","3.6%","(X)","5.7%","14.1%","32.8%","23.2%","8.9%","10.0%","5.3%","80.3%","15.3%","(X)","87.8%","13.2%","(X)","84.8%","18.4%","(X)","81.4%","17.4%","(X)","71.1%","12.0%","","(X)","81.0%","18.1%","(X)","81.1%","18.1%","(X)","93.8%","0.0%","(X)","79.5%","6.6%","(X)","100.0%","60.9%","(X)","-","-","(X)","53.7%","0.9%","(X)","76.8%","17.1%","(X)","76.7%","7.1%","","29.7%","17.6%","14.2%","6.1%","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Males","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","611","113","234","243","21","4,690","296","675","1,736","1,050","255","476","202","(X)","(X)","848","727","73","851","745","177","1,794","1,380","266","1,197","867","162","","3,297","2,629","568","3,236","2,582","568","20","20","0","948","744","35","9","9","0","0","0","0","108","58","1","308","259","74","270","206","1","","(X)","(X)","(X)","(X)","","30,900","26,700","28,229","29,824","47,125","52,546"
"    Percent Males","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","18.5%","38.3%","39.8%","3.4%","(X)","6.3%","14.4%","37.0%","22.4%","5.4%","10.1%","4.3%","79.3%","14.5%","(X)","85.7%","8.6%","(X)","87.5%","20.8%","(X)","76.9%","14.8%","(X)","72.4%","13.5%","","(X)","79.7%","17.2%","(X)","79.8%","17.6%","(X)","100.0%","0.0%","(X)","78.5%","3.7%","(X)","100.0%","0.0%","(X)","-","-","(X)","53.7%","0.9%","(X)","84.1%","24.0%","(X)","76.3%","0.4%","","25.3%","16.7%","12.7%","3.7%","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Females","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","582","53","200","307","22","5,059","258","695","1,462","1,215","612","503","314","(X)","(X)","852","766","151","786","643","125","1,946","1,665","383","1,475","1,032","158","","3,674","3,020","691","3,611","2,972","674","12","10","0","1,198","961","106","14","14","14","0","0","0","0","0","0","161","101","6","69","54","23","","(X)","(X)","(X)","(X)","","25,512","20,455","17,882","25,436","33,625","57,054"
"    Percent Females","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","9.1%","34.4%","52.7%","3.8%","(X)","5.1%","13.7%","28.9%","24.0%","12.1%","9.9%","6.2%","81.2%","16.1%","(X)","89.9%","17.7%","(X)","81.8%","15.9%","(X)","85.6%","19.7%","(X)","70.0%","10.7%","","(X)","82.2%","18.8%","(X)","82.3%","18.7%","(X)","83.3%","0.0%","(X)","80.2%","8.8%","(X)","100.0%","100.0%","(X)","-","-","(X)","-","-","(X)","62.7%","3.7%","(X)","78.3%","33.3%","","34.5%","18.8%","15.2%","8.0%","","(X)","(X)","(X)","(X)","(X)","(X)"
"Transylvania County, North Carolina","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,742","531","824","1,253","134","24,839","979","1,949","7,043","5,517","1,985","4,448","2,918","(X)","(X)","3,070","2,596","865","3,043","2,516","681","9,488","8,496","2,703","9,238","8,303","3,117","","23,242","20,707","6,852","23,020","20,609","6,804","727","657","333","101","94","23","162","139","41","0","0","0","466","213","96","141","101","21","594","238","92","","(X)","(X)","(X)","(X)","","25,632","12,805","24,553","25,569","35,568","39,740"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","19.4%","30.1%","45.7%","4.9%","(X)","3.9%","7.8%","28.4%","22.2%","8.0%","17.9%","11.7%","88.2%","29.7%","(X)","84.6%","28.2%","(X)","82.7%","22.4%","(X)","89.5%","28.5%","(X)","89.9%","33.7%","","(X)","89.1%","29.5%","(X)","89.5%","29.6%","(X)","90.4%","45.8%","(X)","93.1%","22.8%","(X)","85.8%","25.3%","(X)","-","-","(X)","45.7%","20.6%","(X)","71.6%","14.9%","(X)","40.1%","15.5%","","27.4%","11.6%","8.8%","4.6%","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Males","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,508","266","563","660","19","11,577","468","1,134","3,164","2,446","768","2,197","1,400","(X)","(X)","1,447","1,278","388","1,512","1,123","217","4,420","3,787","1,229","4,198","3,787","1,763","","10,848","9,451","3,420","10,743","9,383","3,387","327","271","142","31","31","6","57","57","0","0","0","0","246","115","29","68","50","0","329","161","43","","(X)","(X)","(X)","(X)","","30,903","13,443","32,429","32,798","40,727","49,097"
"    Percent Males","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","17.6%","37.3%","43.8%","1.3%","(X)","4.0%","9.8%","27.3%","21.1%","6.6%","19.0%","12.1%","86.2%","31.1%","(X)","88.3%","26.8%","(X)","74.3%","14.4%","(X)","85.7%","27.8%","(X)","90.2%","42.0%","","(X)","87.1%","31.5%","(X)","87.3%","31.5%","(X)","82.9%","43.4%","(X)","100.0%","19.4%","(X)","100.0%","0.0%","(X)","-","-","(X)","46.7%","11.8%","(X)","73.5%","0.0%","(X)","48.9%","13.1%","","19.6%","11.7%","5.2%","4.6%","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Females","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,234","265","261","593","115","13,262","511","815","3,879","3,071","1,217","2,251","1,518","(X)","(X)","1,623","1,318","477","1,531","1,393","464","5,068","4,709","1,474","5,040","4,516","1,354","","12,394","11,256","3,432","12,277","11,226","3,417","400","386","191","70","63","17","105","82","41","0","0","0","220","98","67","73","51","21","265","77","49","","(X)","(X)","(X)","(X)","","22,165","10,583","21,728","21,113","33,134","34,583"
"    Percent Females","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","21.5%","21.2%","48.1%","9.3%","(X)","3.9%","6.1%","29.2%","23.2%","9.2%","17.0%","11.4%","90.0%","28.4%","(X)","81.2%","29.4%","(X)","91.0%","30.3%","(X)","92.9%","29.1%","(X)","89.6%","26.9%","","(X)","90.8%","27.7%","(X)","91.4%","27.8%","(X)","96.5%","47.8%","(X)","90.0%","24.3%","(X)","78.1%","39.0%","(X)","-","-","(X)","44.5%","30.5%","(X)","69.9%","28.8%","(X)","29.1%","18.5%","","37.0%","11.6%","11.5%","4.6%","","(X)","(X)","(X)","(X)","(X)","(X)"
"Tyrrell County, North Carolina","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","293","83","124","86","0","3,118","240","602","1,226","640","153","134","123","(X)","(X)","462","309","31","570","407","36","1,257","1,005","107","829","555","83","","1,821","1,532","226","1,755","1,495","226","1,088","645","11","74","57","20","14","14","0","0","0","0","107","17","0","14","11","0","224","92","20","","(X)","(X)","(X)","(X)","","23,038","11,512","22,006","31,170","35,833","48,370"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","28.3%","42.3%","29.4%","0.0%","(X)","7.7%","19.3%","39.3%","20.5%","4.9%","4.3%","3.9%","73.0%","8.2%","(X)","66.9%","6.7%","(X)","71.4%","6.3%","(X)","80.0%","8.5%","(X)","66.9%","10.0%","","(X)","84.1%","12.4%","(X)","85.2%","12.9%","(X)","59.3%","1.0%","(X)","77.0%","27.0%","(X)","100.0%","0.0%","(X)","-","-","(X)","15.9%","0.0%","(X)","78.6%","0.0%","(X)","41.1%","8.9%","","30.7%","25.1%","14.2%","1.9%","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Males","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","218","73","96","49","0","1,752","123","385","684","358","80","79","43","(X)","(X)","325","202","21","396","274","14","654","487","40","377","281","47","","980","796","102","932","768","102","636","368","0","65","48","20","6","6","0","0","0","0","56","17","0","9","9","0","146","74","20","","(X)","(X)","(X)","(X)","","24,302","10,357","23,772","35,000","29,018","46,667"
"    Percent Males","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","33.5%","44.0%","22.5%","0.0%","(X)","7.0%","22.0%","39.0%","20.4%","4.6%","4.5%","2.5%","71.0%","7.0%","(X)","62.2%","6.5%","(X)","69.2%","3.5%","(X)","74.5%","6.1%","(X)","74.5%","12.5%","","(X)","81.2%","10.4%","(X)","82.4%","10.9%","(X)","57.9%","0.0%","(X)","73.8%","30.8%","(X)","100.0%","0.0%","(X)","-","-","(X)","30.4%","0.0%","(X)","100.0%","0.0%","(X)","50.7%","13.7%","","29.4%","15.6%","18.3%","4.1%","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Females","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","75","10","28","37","0","1,366","117","217","542","282","73","55","80","(X)","(X)","137","107","10","174","133","22","603","518","67","452","274","36","","841","736","124","823","727","124","452","277","11","9","9","0","8","8","0","0","0","0","51","0","0","5","2","0","78","18","0","","(X)","(X)","(X)","(X)","","20,321","11,849","18,397","25,125","40,074","49,333"
"    Percent Females","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","13.3%","37.3%","49.3%","0.0%","(X)","8.6%","15.9%","39.7%","20.6%","5.3%","4.0%","5.9%","75.5%","9.9%","(X)","78.1%","7.3%","(X)","76.4%","12.6%","(X)","85.9%","11.1%","(X)","60.6%","8.0%","","(X)","87.5%","14.7%","(X)","88.3%","15.1%","(X)","61.3%","2.4%","(X)","100.0%","0.0%","(X)","100.0%","0.0%","(X)","-","-","(X)","0.0%","0.0%","(X)","40.0%","0.0%","(X)","23.1%","0.0%","","31.7%","34.9%","10.4%","0.0%","","(X)","(X)","(X)","(X)","(X)","(X)"
"Union County, North Carolina","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","18,479","2,810","6,072","8,039","1,558","137,190","5,695","9,178","34,280","30,367","11,534","32,883","13,253","(X)","(X)","21,110","18,419","5,617","32,564","29,245","14,528","58,891","53,833","20,534","24,625","20,820","5,457","","114,699","103,645","39,975","105,796","98,622","38,769","15,322","12,991","3,589","523","434","74","3,045","2,811","1,710","23","23","0","2,152","1,226","323","1,426","1,187","465","11,565","6,581","1,692","","(X)","(X)","(X)","(X)","","40,203","22,211","30,639","36,979","54,248","67,907"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","15.2%","32.9%","43.5%","8.4%","(X)","4.2%","6.7%","25.0%","22.1%","8.4%","24.0%","9.7%","89.2%","33.6%","(X)","87.3%","26.6%","(X)","89.8%","44.6%","(X)","91.4%","34.9%","(X)","84.5%","22.2%","","(X)","90.4%","34.9%","(X)","93.2%","36.6%","(X)","84.8%","23.4%","(X)","83.0%","14.1%","(X)","92.3%","56.2%","(X)","100.0%","0.0%","(X)","57.0%","15.0%","(X)","83.2%","32.6%","(X)","56.9%","14.6%","","22.6%","10.1%","7.1%","2.5%","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Males","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","9,415","1,843","3,499","3,392","681","66,057","3,212","4,651","16,563","14,118","5,089","16,129","6,295","(X)","(X)","10,167","8,446","1,995","15,686","13,835","6,804","29,247","26,534","10,623","10,957","9,379","3,002","","55,535","49,438","19,697","51,002","47,229","19,114","7,094","6,048","1,443","282","244","56","1,371","1,305","827","10","10","0","1,117","618","164","648","531","237","5,932","2,996","845","","(X)","(X)","(X)","(X)","","48,887","26,393","36,395","45,393","78,586","101,140"
"    Percent Males","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","19.6%","37.2%","36.0%","7.2%","(X)","4.9%","7.0%","25.1%","21.4%","7.7%","24.4%","9.5%","88.1%","33.9%","(X)","83.1%","19.6%","(X)","88.2%","43.4%","(X)","90.7%","36.3%","(X)","85.6%","27.4%","","(X)","89.0%","35.5%","(X)","92.6%","37.5%","(X)","85.3%","20.3%","(X)","86.5%","19.9%","(X)","95.2%","60.3%","(X)","100.0%","0.0%","(X)","55.3%","14.7%","(X)","81.9%","36.6%","(X)","50.5%","14.2%","","19.0%","7.9%","6.1%","2.6%","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Females","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","9,064","967","2,573","4,647","877","71,133","2,483","4,527","17,717","16,249","6,445","16,754","6,958","(X)","(X)","10,943","9,973","3,622","16,878","15,410","7,724","29,644","27,299","9,911","13,668","11,441","2,455","","59,164","54,207","20,278","54,794","51,393","19,655","8,228","6,943","2,146","241","190","18","1,674","1,506","883","13","13","0","1,035","608","159","778","656","228","5,633","3,585","847","","(X)","(X)","(X)","(X)","","31,465","16,755","22,992","28,979","39,991","51,504"
"    Percent Females","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","10.7%","28.4%","51.3%","9.7%","(X)","3.5%","6.4%","24.9%","22.8%","9.1%","23.6%","9.8%","90.1%","33.3%","(X)","91.1%","33.1%","(X)","91.3%","45.8%","(X)","92.1%","33.4%","(X)","83.7%","18.0%","","(X)","91.6%","34.3%","(X)","93.8%","35.9%","(X)","84.4%","26.1%","(X)","78.8%","7.5%","(X)","90.0%","52.7%","(X)","100.0%","0.0%","(X)","58.7%","15.4%","(X)","84.3%","29.3%","(X)","63.6%","15.0%","","26.7%","12.1%","8.0%","2.4%","","(X)","(X)","(X)","(X)","(X)","(X)"
"Vance County, North Carolina","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","4,091","1,050","1,750","1,135","156","29,683","2,412","4,615","10,778","5,808","2,668","2,448","954","(X)","(X)","5,064","4,034","875","5,034","3,953","458","12,312","9,657","1,292","7,273","5,012","777","","14,404","11,891","1,890","13,777","11,398","1,876","14,154","10,230","1,385","347","142","55","150","144","34","0","0","0","510","146","21","118","103","17","1,410","707","68","","(X)","(X)","(X)","(X)","","27,151","19,073","23,988","29,339","36,372","50,913"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","25.7%","42.8%","27.7%","3.8%","(X)","8.1%","15.5%","36.3%","19.6%","9.0%","8.2%","3.2%","76.3%","11.5%","(X)","79.7%","17.3%","(X)","78.5%","9.1%","(X)","78.4%","10.5%","(X)","68.9%","10.7%","","(X)","82.6%","13.1%","(X)","82.7%","13.6%","(X)","72.3%","9.8%","(X)","40.9%","15.9%","(X)","96.0%","22.7%","(X)","-","-","(X)","28.6%","4.1%","(X)","87.3%","14.4%","(X)","50.1%","4.8%","","35.7%","20.1%","12.8%","8.0%","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Males","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,019","596","881","431","111","13,388","1,436","2,268","5,168","2,232","956","1,014","314","(X)","(X)","2,381","1,628","326","2,278","1,761","145","5,688","4,066","462","3,041","2,229","395","","6,829","5,374","817","6,421","5,094","811","6,014","4,152","494","147","17","0","10","10","0","0","0","0","298","56","0","90","75","17","868","368","23","","(X)","(X)","(X)","(X)","","30,175","21,277","25,647","35,636","39,917","46,563"
"    Percent Males","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","29.5%","43.6%","21.3%","5.5%","(X)","10.7%","16.9%","38.6%","16.7%","7.1%","7.6%","2.3%","72.3%","9.9%","(X)","68.4%","13.7%","(X)","77.3%","6.4%","(X)","71.5%","8.1%","(X)","73.3%","13.0%","","(X)","78.7%","12.0%","(X)","79.3%","12.6%","(X)","69.0%","8.2%","(X)","11.6%","0.0%","(X)","100.0%","0.0%","(X)","-","-","(X)","18.8%","0.0%","(X)","83.3%","18.9%","(X)","42.4%","2.6%","","29.7%","18.1%","9.5%","8.5%","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Females","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
